Unnamed: 0,content,label
0,covid 19 cases going testing going,0
1,every election year disease sars 2004 avian flu 2008 swine flu 2010 mers 2012 ebola 2014 2018 zika 2016 coronavirus 2020,0
2,paid rent march april got give money back,0
3,dr fauci reason wearing mask,0
4,drinking boiled garlic water cure covid 19,0
5,says nancy pelosi delayed coronavirus funding dems could campaign,0
6,says donald trump financial stake french company makes brand name version hydroxychloroquine,0
7,says joe biden charge h1n1 swine flu epidemic killed thousands people response one worst record response one best fast action border closings 78 approval rating highest record lowest,0
8,dr anthony fauci known 15 years chloroquine hydroxychloroquine treat current case coronavirus prevent future cases,0
9,donald trump owned stock thermo fisher scientific time presidential administration advocating covid 19 test uses thermo fisher equipment,0
10,bill gates worked end livestock production pushing lab grown meat,0
11,private messages sent individual people zoom meeting show end meeting transcript along public messages,0
12,george soros owns wuxi pharma lab located wuhan china covid 19 developed conveniently broke,0
13,texas ranks 3rd highest among states number people recovered coronavirus,0
14,white house gift shop selling coronavirus commemorative coins,0
15,bill gates told us coronavirus 2015,0
16,letter providing tips protect new coronavirus authored pathologist james robb,0
17,flu pandemic 1918 cities lifted social distancing measures fast soon created second wave pandemic,0
18,coronavirus snuck us adding unforeseen thing,0
19,chinese doctors confirmed african people genetically resistant new coronavirus,0
20,us president donald trump praised china transparency handling coronavirus outbreak later criticized world health organization,0
21,barack obama set anti pandemic programs 47 vulnerable countries way protect something like coronavirus exactly know trump closed 37,0
22,says cdc says coronavirus survive surfaces 17 days,0
23,bill gates along coalition dubbed id 2020 seeks microchip world population using covid 19 vaccine,0
24,look one hydroxychloroquine survey bad survey giving people bad shape old almost dead,0
25,says one died coronavirus united states,0
26,says current survival rate covid 19 us 9854,0
27,president looks like ahead curve know talks time shutting travel china,0
28,coronavirus common cold folks,0
29,says 80 novel coronavirus cases mild,0
30,says texas either near bottom bottom comes testing per capita,0
31,obama administration made decision testing turned detrimental coronavirus,0
32,says joe biden written letter apology calling trumps travel restrictions china xenophobic,0
33,models projecting covid 19 deaths talking without mitigation,0
34,says harvard scientists say coronavirus spreading fast infect 70 humanity year,0
35,says asian hong kong swine bird flus killed people coronavirus,0
36,church services cant resume vaccinated says bill gates,0
37,teens tweens transmit sars cov 2 quicker efficiently adults,0
38,line countries done covid 19 testing per capita basis bottom list,0
39,obesity like 1 factor whether really get hit hard covid 19,0
40,says house speaker nancy pelosi deleted video telling people go chinatown,0
41,2009 swine flu outbreak biden made reckless comments unsupported science experts obama admin clean mess apologize ineptitude,0
42,says students repeat grade next year,0
43,1918 flu pandemic san francisco residents formed anti mask league san francisco ultimately one cities suffered high death rate,0
44,ask amazons alexa origin coronavirus pandemic says government planned,0
45,barack obama first ex president ever speak successor,0
46,says nancy pelosi caught trying include abortion funding bill combat coronavirus,0
47,covid 19 cases big number testing,0
48,cdc confirmed 02 death rate covid19,0
49,first volunteer uk coronavirus vaccine trial died,0
50,us president donald trump said increased covid 19 testing makes us look bad increasing coronavirus case numbers,0
51,mortality rate flu right around new coronavirus right around 2,0
52,says president donald trump said people dying never died,0
53,flu shot last 3 5 years probably test positive covid 19,0
54,schools canada closed rest school year family receive 950 every two weeks next 15 weeks banks notif ied suspend mortgage payments least 6 months student loans deferred,0
55,says pandemic occurs exactly every 100 years,0
56,says 99 covid 19 cases totally harmless,0
57,march 2020 first march without school shooting us since 2002,0
58,microwaving fabric masks good way sanitize reuse,0
59,states getting 50 tests per day utah jazz got 58,0
60,cases numbers deaths covid 19 going country,0
